ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
368,Satisfacción de los estudiantes de Educación para ,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
369,Participación de POLI- voluntariados (Estudiantes-,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
370,Oportunidades de mejora - Huella Verde,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
371,Recaudación de fondos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
372,Satisfacción de los clientes corporativos Educació,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
373,Cumplimiento de planes anuales por líneas,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
374,Disponibilidad de máster modalidad virtual,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
375,Disponibilidad de catálogo de asignaturas pregrado,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
376,Cumplimiento EBIDTA,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
377,CAPEX,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
378,Proyectos tecnológicos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
379,Total estudiantes nuevos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
380,Ingresos de matriculas de estudiantes nuevos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
381,Cumplimiento de matrículas pregrado presencial nue,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
382,Cumplimiento de matrículas pregrado virtual nuevos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
383,Cumplimiento de matrículas posgrado virtual nuevos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
384,Cumplimiento de matrículas posgrado presencial nue,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
385,Ingresos totales de educación para la vida,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
386,Cumplimiento Meta comercial Educación para toda la,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
387,Programas con alineación curricular por escuela,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
388,Programas con matriz de resultados de aprendizaje ,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
389,Permanencia por escuela,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
390,Cumplimiento Plan Anual por escuela,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
391,Satisfacción del cliente con campañas integradas d,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
392,Ahorro institucional con base en la monetización d,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
393,Disminución de los tiempos empleados en el desarro,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
394,Publicaciones en medios de comunicación Tier 1 y T,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
395,Publicaciones en medios de comunicación de la regi,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
396,Publicaciones en el Campus Virtual,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
397,Gestión de casos del Estudio de Emisión,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
398,Participación en actividades de desarrollo de Cult,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
399,Sesiones de Acompañamiento a emprendedores en crea,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
400,Puesta en marcha de proyectos de emprendimiento,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
401,Producción de nuevos MI-Books,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
402,Informe anual de consulta de MI-Books,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
403,Número de estudiantes que ha realizado la simulaci,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
404,Casos presentados y solucionados,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
405,Proyecto de reingenieria y arquitectura de softwar,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
406,Programas con condiciones iniciales aprobadas por ,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
407,Programas 1ra fase de condiciones iniciales radica,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
408,Programas nuevos radicados por facultad,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
409,Oportunidad en tiempo de envios,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
410,Solicitudes de gestión documental,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
411,Cumplimiento Planes De Relacionamiento,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
412,Participación en eventos externos de impacto,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
413,Participación del Poli como sede o patrocinador,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
414,Cumplimiento Plan Anual Rectoría,✅,❌,✅,✅,⚠️,⚠️,Indicadores por CMI
415,Cumplimiento Plan Anual Vicerrectoría del estudian,✅,❌,✅,✅,⚠️,⚠️,Indicadores por CMI
416,Cumplimiento Plan Anual Vicerrectoría de crecimien,✅,❌,✅,✅,⚠️,⚠️,Indicadores por CMI
